,manga_id,title,type,score,scored_by,status,volumes,chapters,start_date,end_date,members,favorites,sfw,approved,created_at_before,updated_at,real_start_date,real_end_date,genres,themes,demographics,authors,serializations,synopsis,background,main_picture,url,title_english,title_japanese,title_synonyms
39145,108319,Juumin Zenin Ninshin Kibou!? Joshiryou Kanrinin,manga,,26,finished,1.0,6.0,2015-12-05,2016-10-05,118,0,False,True,2017-07-18 03:23:34+00:00,2022-04-16 05:48:57+00:00,2015-12-05,2016-10-05,['Hentai'],[],[],"[{'id': 41272, 'first_name': 'Q-ya', 'last_name': 'Natsuka', 'role': 'Story & Art'}]",['Comic Mugen Tensei'],,,https://cdn.myanimelist.net/images/manga/3/201346l.jpg,https://myanimelist.net/manga/108319/Juumin_Zenin_Ninshin_Kibou_Joshiryou_Kanrinin,Residents of this women's dormitory hopes to become pregnant.,住民全員妊娠希望!? 女子寮管理人,['Hoshitake Joshiryou: Sei Ijou Ari']
39157,133332,"Level 0 no Maou-sama, Isekai de Boukensha wo Hajimemasu",light_novel,,18,currently_publishing,,,2019-08-09,,118,0,True,True,2021-02-02 04:08:53+00:00,2021-02-02 04:08:53+00:00,2019-08-09,,"['Action', 'Adventure', 'Fantasy']",[],[],"[{'id': 19091, 'first_name': 'Shiki', 'last_name': 'Mizuchi', 'role': 'Story'}, {'id': 34149, 'first_name': 'Asagi', 'last_name': 'Toosaka', 'role': 'Art'}]",[],"Meet the Evil King Valt, ruler of the Continent of Darkness. After being defeated by a group of heroes, he was reborn as a human, with his powers intact!

""I'll start over in this world. And this time the whole world will be mine!""

Valt garners the attention of the elite adventurer Iris. With Iris as his guardian, he enrolls at the Royal Adventurer Training School and immediately surpasses his seniors with his abnormal power! In an unprecedented move, this maverick is designated ""level 0."" He goes on to employ his talents as an Evil King to great effect, dominating the new world he finds himself in...

(Source: SB Creative Corp., translated)",,https://cdn.myanimelist.net/images/manga/3/240593l.jpg,https://myanimelist.net/manga/133332/Level_0_no_Maou-sama_Isekai_de_Boukensha_wo_Hajimemasu,Level 0 Evil King Become the Adventurer in the New World,レベル0の魔王様、異世界で冒険者を始めます 史上最強の新人が誕生しました,[]
39286,134180,Keikoku no Shitateya Rose Bertin,manga,,7,currently_publishing,,,2018-12-21,,117,0,True,True,2021-02-27 19:37:30+00:00,2022-05-14 19:46:34+00:00,2018-12-21,,[],['Historical'],['Seinen'],"[{'id': 31243, 'first_name': 'Jingetsu', 'last_name': 'Isomi', 'role': 'Story & Art'}]",['Comic@Bunch'],"18th century France, just before the revolution. The palace of Versailles hosted a dressmaker with more style than even the nobles themselves. This is the story of Rose Bertin, the mother of fashion design and the favorite stylist of Marie Antoinette.

(Source: Shinchosha, translated)",Keikoku no Shitateya Rose Bertin is published digitally in English as Rose Bertin: The Dressmaker That Launched a Thousand Dreams by Shinchosha through MangaPlaza.,https://cdn.myanimelist.net/images/manga/1/241614l.jpg,https://myanimelist.net/manga/134180/Keikoku_no_Shitateya_Rose_Bertin,Rose Bertin: The Dressmaker That Launched a Thousand Dreams,傾国の仕立て屋 ローズ・ベルタン,[]
39518,115809,Dannasama no Atama ga Kemono nano wa Doumo Watashi no Sei Rashii,light_novel,,17,finished,2.0,11.0,2016-09-20,2017-02-20,115,0,True,True,2018-10-17 20:53:08+00:00,2023-02-26 23:44:28+00:00,2016-09-20,2017-02-20,"['Comedy', 'Fantasy', 'Romance']",[],['Shoujo'],"[{'id': 3824, 'first_name': 'Eri', 'last_name': 'Shiduki', 'role': 'Story'}, {'id': 10740, 'first_name': 'Kasumi', 'last_name': 'Nagi', 'role': 'Art'}]",[],"Love Is a Beastly Business! Rumor has it that Princess Rosemarie is an antisocial shut-in, but the truth is far stranger. The young princess hides from the world because of a strange condition: whenever someone expresses a negative emotion, she sees their head transform into that of a fearsome beast. It seems there's no one in the dishonest world of courtly manners she can trust... until she meets Prince Claudio of Baltzar, whose features remain ever human. The two marry at once, but she learns too late that his human features aren't thanks to a kindly nature. Claudio has become a very real beast, all because of Rosemarie's accidental theft of his mana many years prior! Claudio's life and future are on the line until he gets his mana back—and Rosemarie would give anything to know how to do it. Will they break their mutual curse in time for Rosemarie to get home for tea, or will Claudio lose his temper first? Find out in this new romantic fantasy.

(Source: J-Novel Club)","Dannasama no Atama ga Kemono nano wa Doumo Watashi no Sei Rashii was published digitally in English as Apparently it's My Fault That My Husband Has The Head of a Beast by J-Novel Club under the J-Novel Heart imprint from November 22, 2018 to January 24, 2019.",https://cdn.myanimelist.net/images/manga/1/222518l.jpg,https://myanimelist.net/manga/115809/Dannasama_no_Atama_ga_Kemono_nano_wa_Doumo_Watashi_no_Sei_Rashii,Apparently it's My Fault That My Husband Has The Head of a Beast,旦那様の頭が獣なのはどうも私のせいらしい,[]
39619,89362,"Koi wo Shite wa Ikenai Game, Furaretemo Kimi ni Koi wo Suru",light_novel,,10,finished,2.0,12.0,2015-05-25,2015-10-23,114,0,True,True,2015-05-16 13:20:18+00:00,2022-01-15 16:51:19+00:00,2015-05-25,2015-10-23,"['Drama', 'Romance']",['School'],[],"[{'id': 30899, 'first_name': 'Sou', 'last_name': 'Nanaumi', 'role': 'Story'}, {'id': 37965, 'first_name': 'Mika', 'last_name': 'Mikami', 'role': 'Art'}]",[],,,https://cdn.myanimelist.net/images/manga/2/176782l.jpg,https://myanimelist.net/manga/89362/Koi_wo_Shite_wa_Ikenai_Game_Furaretemo_Kimi_ni_Koi_wo_Suru,"In the game allowing of no love, I'll continue to love you any number of times.",恋をしてはいけないゲーム、振られてもきみに恋をする,[]
39774,133476,"Genkaigoe no Skill wa, Tenseisha ni shika Atsukaenai: Over Limit Skill Holder",light_novel,,25,currently_publishing,,,2020-11-20,,113,0,True,True,2021-02-07 19:58:32+00:00,2022-04-15 02:58:25+00:00,2020-11-20,,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",[],"[{'id': 25181, 'first_name': 'Yasuaki', 'last_name': 'Mikami', 'role': 'Story'}, {'id': 54525, 'first_name': 'Ashito', 'last_name': 'Ooyari', 'role': 'Art'}]",[],,,https://cdn.myanimelist.net/images/manga/2/246127l.jpg,https://myanimelist.net/manga/133476/Genkaigoe_no_Skill_wa_Tenseisha_ni_shika_Atsukaenai__Over_Limit_Skill_Holder,"Only the Reincarnated Can Conquer the ""Over Limited Skill Orb""",限界超えの天賦〈スキル〉は、転生者にしか扱えない　－オーバーリミット・スキルホルダー－,[]
39791,157784,Around 40 Kenja no Isekai Seikatsu Nikki: Kimama na Isekai Kyoushi Life,manga,,19,currently_publishing,,,2018-10-16,,113,0,True,True,2023-04-11 19:13:39+00:00,2023-04-14 13:50:29+00:00,2018-10-16,,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",[],"[{'id': 43617, 'first_name': 'Yasukiyo', 'last_name': 'Kotobuki', 'role': 'Story'}, {'id': 65206, 'first_name': '', 'last_name': 'Maneki', 'role': 'Art'}]",['Manga UP!'],"A middle aged man reincarnates in another world and becomes the strongest tutor in the world!

Satoshi Osako (40), who had become addicted to the game and rose to become a top player, had an accident while logging in that put an end to his life. In a world full of swords, magic, and monsters, he was reborn with all previous statuses and somehow ends up tutoring a young girl...

The diary of a wise man who lives in a different world, where his motto is ""Peace and tranquility every day.""

(Source: Square Enix)",Around 40 Kenja no Isekai Seikatsu Nikki: Kimama na Isekai Kyoushi Life has been published digitally in English as The Diary of a Middle-Aged Teacher's Carefree Life in Another World by Square Enix through Manga UP!,https://cdn.myanimelist.net/images/manga/3/280153l.jpg,https://myanimelist.net/manga/157784/Around_40_Kenja_no_Isekai_Seikatsu_Nikki__Kimama_na_Isekai_Kyoushi_Life,The Diary of a Middle-Aged Teacher's Carefree Life in Another World,アラフォー賢者の異世界生活日記～気ままな異世界教師ライフ～,[]
39918,136828,Around 40 Ryman no Cinderella Tensei,manga,,13,currently_publishing,,,2019-11-19,,112,0,True,True,2021-05-25 04:28:57+00:00,2022-09-03 13:38:19+00:00,2019-11-19,,"['Comedy', 'Ecchi']",['Reincarnation'],[],"[{'id': 37730, 'first_name': 'Tsukasa', 'last_name': 'Araki', 'role': 'Art'}, {'id': 54013, 'first_name': 'Mariru', 'last_name': 'Harada', 'role': 'Story'}]",['LINE Manga'],,,https://cdn.myanimelist.net/images/manga/1/244967l.jpg,https://myanimelist.net/manga/136828/Around_40_Ryman_no_Cinderella_Tensei,Cinderella Reincarnation of an Office Man Around 40 Years Old,アラフォーリーマンのシンデレラ転生,"['Around 40 Salaryman no Cinderella Tensei', 'Around Forty Office Worker Cinderella Reincarnation']"
40029,102349,Character Making de Isekai Tensei!,light_novel,,3,on_hiatus,2.0,,2016-10-08,2017-05-11,111,0,True,True,2016-11-02 16:06:54+00:00,2021-04-22 00:16:12+00:00,2016-10-08,2017-05-11,['Fantasy'],[],[],"[{'id': 40998, 'first_name': '', 'last_name': 'Natasha', 'role': 'Art'}, {'id': 42336, 'first_name': 'Haruka', 'last_name': 'Kokonoe', 'role': 'Story'}]",[],,,https://cdn.myanimelist.net/images/manga/2/185304l.jpg,https://myanimelist.net/manga/102349/Character_Making_de_Isekai_Tensei,Let's make character for reincarnation in the new world!,キャラクターメイキングで異世界転生!,[]
40069,152689,"30-sai de ""Seibetsu ga, Nai!"" to Hanmei shita Ore ga Around Fifty ni Natte Wakatta Koto.",manga,,13,finished,1.0,23.0,2019-07-10,2019-07-10,111,0,True,True,2022-10-17 21:44:36+00:00,2023-02-19 19:45:24+00:00,2019-07-10,2019-07-10,['Comedy'],['Memoir'],[],"[{'id': 12175, 'first_name': 'Shou', 'last_name': 'Arai', 'role': 'Story & Art'}]",[],"At age 30, Shou Arai came to a realization; he had no gender. Now he was faced with a question he'd never really considered: how to age in a society where everything is so strongly segregated between two genders?

This autobiographical manga explores Japanese culture surrounding gender, transgender issues, and the day to day obstacles faced by gender minorities and members of the LGBTQIA+ community with a lighthearted, comedic attitude.

(Source: Tokyopop)","30-sai de ""Seibetsu ga, Nai!"" to Hanmei shita Ore ga Around Fifty ni Natte Wakatta Koto. was published digitally in English as At 30, I Realized I Had No Gender: Life Lessons from a 50-Year-Old After Two Decades of Self-Discovery by Tokyopop on February 22, 2023, and in print on June 13, 2023.",https://cdn.myanimelist.net/images/manga/1/270426l.jpg,https://myanimelist.net/manga/152689/30-sai_de_Seibetsu_ga_Nai_to_Hanmei_shita_Ore_ga_Around_Fifty_ni_Natte_Wakatta_Koto,"At 30, I Realized I Had No Gender: Life Lessons from a 50-Year-Old After Two Decades of Self-Discovery",30歳で「性別が、ない！」と判明した俺がアラフィフになってわかったこと。,[]
