,title,type,episodes
5325,Yao Shen Ji 5th Season,ona,104.0
6700,Yao Shen Ji 6th Season,ona,52.0
4301,Yaoguai Mingdan 2nd Season,ona,21.0
6292,Yi Ren Zhi Xia 4th season,ona,12.0
9478,Yi Ren Zhi Xia 5th season,ona,12.0
18441,Yi Shijie Zhongyao Pu 2nd Season,ona,60.0
11979,Yin Yang Shi: Ping An Wu Yu 2nd Season,ona,12.0
16952,Yin Yang Shi: Ping An Wu Yu 3rd Season,ona,12.0
17215,Yong Zhe Da Mao Xian 2nd Season,ona,25.0
7852,Yoru wa Neko to Issho Season 2,ona,
21964,You Shen Me 2nd Season,ona,10.0
20541,You Shou Yan 2nd Season,ona,
16574,You Yao 2nd Season,ona,
239,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,tv,13.0
16056,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,tv,
6827,Yuan Long 2nd Season,ona,16.0
11293,Yuan Long 3rd Season,ona,16.0
18310,Yukai na Animal Bus 2nd Season,tv,12.0
412,Yuru Camp△ Season 2,tv,13.0
3242,Yuru Camp△ Season 2 Specials,special,2.0
16111,Yuru Camp△ Season 3,tv,
6324,Ze Tian Ji 2nd Season,ona,12.0
6863,Ze Tian Ji 3rd Season,ona,12.0
6642,Ze Tian Ji 4th Season,ona,12.0
7146,Ze Tian Ji 5th Season,ona,12.0
19752,Zhandouban Geji! 2nd Season,ona,14.0
19483,Zhandouban Geji! Season Zero,ona,4.0
16663,Zhen Hun Jie 3rd Season,ona,16.0
16773,Zhen Wu Dianfeng 2nd Season,ona,52.0
21593,Zhonghua Dizi Gui 2nd Season,tv,120.0
