,title
40640,"Hazure Skill ""Gacha"" de Tsuihou sareta Ore wa, Wagamama Osananajimi wo Zetsuenshi Kakusei suru: Bannou Cheat Skill wo Get shite, Mezase Rakuraku Saikyou Slow Life!"
42130,Kyokon Tensei: Onna dake no Isekai de Himekishi-tachi wo Tanetsuke Shihai! Subete no Min ga Niku Onaho desu. Harami Ana ni Seishi-sama Omegumi Kudasai♪
42594,"Konyaku Haki wo Neratte Kioku Soushitsu no Furi wo Shitara, Sokkenai Taido Datta Konyakusha ga ""Kioku wo Ushinau Mae no Kimi wa, Ore ni Betabore Datta"" to Iu, Tondemonai Uso wo Tsuki Hajimeta"
43420,"Youkoso ""Tsuihousha Guild"" e: Munou na S-Rank Party ga Dondon Yuunou na Boukensha wo Tsuihou suru node, Saijaku wo Atsumete Saikyou Guild wo Tsukurimasu"
45778,"Tsuihou sareta Cheat Fuyo Majutsushi wa Kimama na Second Life wo Ouka suru.: Ore wa Buki dake ja Naku, Arayuru Mono ni ""Kyouka Point"" wo Fuyo Dekiru shi, Ore no Ishi de Itsudemo Kouka wo Kaijo Dekiru kedo, Nokotta Hitotachi Daijoubu?"
47560,Tenshoku Shinden no Shinkan ni Tensei shita Ore no Iu Koto wa Zettai Rashii: Chitsujo ga Houkai suru Level no Cheat Nouryoku wo Motta Kage no Kenryokusha no Monogatari
52015,"Uchi no Deshi ga Itsunomanika Jinrui Saikyou ni Natteite, Nan no Sainou mo Nai Shishou no Ore ga Sore wo Koeru Uchuu Saikyou ni Gonintei sareteiru Ken ni Tsuite"
52618,"Tensei Daiseijo, Jitsuryoku wo Kakushite Renkinjutsu Gakka ni Nyuugaku suru: Mofumofu ni Aisareta Reijou wa, Mofumofu Igai no Mono ni mo Dekiai sareru"
56691,"Sasen sareta Munou Ouji wa Jitsuryoku wo Kakushitai: Nido Tensei shita Saikyou Kenja, Konse dewa Tanoshitai node Te wo Nuitetara, Ouke wo Tsuihou sareta. Imasara Kaettekoi to Iwaretemo Osoi, Ryoumin ni Jitsuryoku ga Barete, Jikka ni Kaeshite Kurenai kara....."
58129,Boukensha Party wo Tsuihou sareta Kaifukushi Shoujo wo Hirotte Ikusei shitara Masaka no Saikyou Shokugyou ni Tenshoku!?: Omake ni Kanojo no Yousu ga Naniyara Okashikute…
60763,"Eroge no Sekai de Slow Life: Issho ni Isekai Teni shitekita Yarisaa no Daigakusei-tachi ni Tsuihou sareta node, Henkyou de Muteki ni Natte Shin no Heroine-tachi to Yoroshiku Yarimasu"
61066,"Akuyaku Reijou to Akuyaku Reisoku ga, Deatte Koi ni Ochita nara: Nanashi no Seirei to Keiyaku shite Oidasareta Reijou wa, Kyou mo Reisoku to Kisoiatteiru you desu"
61383,"Majutsu no Hate wo Motomeru Daimajutsushi: Madou wo Kiwameta Ore ga Sanbyakunengo no Gijutsu Kakushin wo Kitai shite Tensei shitara, Kanashiku Naruhodo Taika shiteita......"
62471,"Hazure Skill ""Nigeru"" de Ore wa Kyokugen Tei-Level no Mama Saikyou wo Mezasu: Keikenchi Yokusei & Level 1 de Skill Point ga Shinu hodo Inflation, Skill ga Torihoudai ni Natta Ken"
62473,Maou to Yuusha no Tatakai no Ura de: Game Sekai ni Tensei shita kedo Yuujin no Yuusha ga Maou Toubatsu ni Tabi Datta Ato no Kokunai Orusuban (Naisei to Boueisen) ga Ore no Oshigoto desu
63963,"Maoudou: Sennen Mae no Maou ga Fukkatsu shitara Saijaku Mamono no Kobold Datta ga, Chishiki Keiken ni Otoroenashi. Kami to Seigi no Na no Shita ni Yaritai Houdaishiteiru Ningendomo wo Shitsukeketeyaru to Shiyou"
63986,"Loop 8-shuume wa Shiawase na Jinsei wo: 7-shuubun no Keikenchi to Daisan Oujo no ""Kantei"" de Kakusei shita Ore wa, Aibou no Behemoth to Tomo ni Musou suru"
64640,"Maougun no Messiah: ""Seiken wo Tsukawanai no wa Yuusha dewa Nai"" to Iware Tsuihou sareta ga Maou ni Horerare Kekkon shimashita. Ningen-tachi wa Ore ga Teki ni Mawatta no wo Koukai shiteiru You desu ga Mou Osoi desu"
